review,aspect,key_aspect,count,product
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,remote controls,remote control,8,Apex AD2600 Progressive-scan DVD player
2 the remote works but then it does not work and you are left standing there thinking you are doing something wrong,remote works,remote control,8,Apex AD2600 Progressive-scan DVD player
and the remote is cheap and cheasy not sure how long it will last but for 50 bucks what the heck,sure remote,remote control,8,Apex AD2600 Progressive-scan DVD player
the remote is a little hard to understand,hard remote,remote control,8,Apex AD2600 Progressive-scan DVD player
for the money apex machines have good features,good features,extra features,5,Apex AD2600 Progressive-scan DVD player
i only wanted something to play dvds on but this machine has all these other features that i probably will never use but its nice to know that there are there,nice features,extra features,5,Apex AD2600 Progressive-scan DVD player
its very sleek looking with a very good front panel button layout and it has a great feature set,great feature,extra features,5,Apex AD2600 Progressive-scan DVD player
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,special features,extra features,5,Apex AD2600 Progressive-scan DVD player
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,extra features,extra features,5,Apex AD2600 Progressive-scan DVD player
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player
well this apex dvd player turned out great,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player
without a doubt the finest looking apex dvd player that i have seen,apex player,apex player,5,Apex AD2600 Progressive-scan DVD player
 he had owned two apex dvd players and was pleased with both of them ,apex players,apex player,5,Apex AD2600 Progressive-scan DVD player
i tried calling the support number for a week several times a day and always got a busy signal,several times,several times,4,Apex AD2600 Progressive-scan DVD player
i called apexs support number numerous times but it just kept ringing,numerous times,several times,4,Apex AD2600 Progressive-scan DVD player
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,many times,several times,4,Apex AD2600 Progressive-scan DVD player
on several different occasions it has displayed no disc with a disc inside,several occasions,several times,4,Apex AD2600 Progressive-scan DVD player
my dad also has an apex tv and it was another great value for the money,great value,right price,4,Apex AD2600 Progressive-scan DVD player
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,low price,right price,4,Apex AD2600 Progressive-scan DVD player
mixed bag i guess but the price was right,right price,right price,4,Apex AD2600 Progressive-scan DVD player
and amazon com has it for such a great price how can you go wrong,great price,right price,4,Apex AD2600 Progressive-scan DVD player
very bad quality,bad quality,bad quality,4,Apex AD2600 Progressive-scan DVD player
excellent picture quality on par with my pioneer panasonic and jvc players,excellent quality,bad quality,4,Apex AD2600 Progressive-scan DVD player
only owned it about two weeks so i expect were looking at getting another progressive scan dvd player of higher quality very soon,higher quality,bad quality,4,Apex AD2600 Progressive-scan DVD player
i know the saying is you get what you pay for but at this stage of game dvd players must have better quality than this there is no excuse,better quality,bad quality,4,Apex AD2600 Progressive-scan DVD player
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,progressive player,progressive player,3,Apex AD2600 Progressive-scan DVD player
only owned it about two weeks so i expect were looking at getting another progressive scan dvd player of higher quality very soon,progressive player,progressive player,3,Apex AD2600 Progressive-scan DVD player
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,progressive players,progressive player,3,Apex AD2600 Progressive-scan DVD player
its a compact attractive machine and was easy to set up,attractive machine,nice machines,3,Apex AD2600 Progressive-scan DVD player
besides the one problem this machine is amazing,amazing machine,nice machines,3,Apex AD2600 Progressive-scan DVD player
nice machines but i consider their quality pretty low now,nice machines,nice machines,3,Apex AD2600 Progressive-scan DVD player
great quality picture and features,great picture,great picture,3,Apex AD2600 Progressive-scan DVD player
received apex dvd and the picture was great when set up with s connector,great picture,great picture,3,Apex AD2600 Progressive-scan DVD player
the picture is perfect although i am not watching on an hdtv,perfect picture,great picture,3,Apex AD2600 Progressive-scan DVD player
apex is the best cheap quality brand for dvd players,cheap brand,cheap brand,3,Apex AD2600 Progressive-scan DVD player
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,reliable brand,cheap brand,3,Apex AD2600 Progressive-scan DVD player
apex is the best cheap quality brand for dvd players,best brand,cheap brand,3,Apex AD2600 Progressive-scan DVD player
i would not be inclined to purchase an apex product again,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player
this is the third apex product i have bought and they continue to impress for the price,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player
remote buttons are small and closely spaced especially with the menu buttons,small buttons,small buttons,2,Apex AD2600 Progressive-scan DVD player
the remote is okay but i am not a fan of remotes with tiny buttons,tiny buttons,small buttons,2,Apex AD2600 Progressive-scan DVD player
as a whole the dvd player has a sleek design and works fine,sleek design,sleek design,2,Apex AD2600 Progressive-scan DVD player
loved the slim design,slim design,sleek design,2,Apex AD2600 Progressive-scan DVD player
my jpeg pictures are viewable not so sharp and vivid on my 27 screen but seem not as clear as when i view them on my 17 monitor,sharp jpeg pictures,sharp jpeg pictures,2,Apex AD2600 Progressive-scan DVD player
the unit seems to play all formats that i have put in it jpeg kodak pics and dvdr i have read other reviews and some good and soom not so good but my feeling at this time is two thumbs up,jpeg pics,sharp jpeg pictures,2,Apex AD2600 Progressive-scan DVD player
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,scan players,scan players,2,Apex AD2600 Progressive-scan DVD player
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,scan player,scan players,2,Apex AD2600 Progressive-scan DVD player
34 way through the first disk we played on it naturally on 31 days after purchase the dvd player froze,first disk,regular disk,2,Apex AD2600 Progressive-scan DVD player
the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 files on a regular cdr data disk without vcd formatting,regular disk,regular disk,2,Apex AD2600 Progressive-scan DVD player
after multilple tries one of the disks was finally recognized but video was poor and features not available,poor video,poor video,2,Apex AD2600 Progressive-scan DVD player
good quality video,good video,poor video,2,Apex AD2600 Progressive-scan DVD player
there were a few attractive features such as the small size and the layout of the remote,small size,normal size,2,Apex AD2600 Progressive-scan DVD player
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,normal size,normal size,2,Apex AD2600 Progressive-scan DVD player
it did also seem to have a strong new electronics smell for some time,new smell,new smell,2,Apex AD2600 Progressive-scan DVD player
it did also seem to have a strong new electronics smell for some time,strong smell,new smell,2,Apex AD2600 Progressive-scan DVD player
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,great deal,great deal,2,Apex AD2600 Progressive-scan DVD player
seemed like a good deal but this pos frequently cannot recognize dvds and music cds takes a long time loading and then concludes no disc,good deal,great deal,2,Apex AD2600 Progressive-scan DVD player
the picture is clear bright and sharp and the sound is good,good sound,good sound,2,Apex AD2600 Progressive-scan DVD player
i have had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor,occasional sound,good sound,2,Apex AD2600 Progressive-scan DVD player
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,good reviews,good reviews,2,Apex AD2600 Progressive-scan DVD player
the unit seems to play all formats that i have put in it jpeg kodak pics and dvdr i have read other reviews and some good and soom not so good but my feeling at this time is two thumbs up,good reviews,good reviews,2,Apex AD2600 Progressive-scan DVD player
finally amazons free shipping is really getting good it took only 3 working days for the player to reach me,free shipping,free shipping,2,Apex AD2600 Progressive-scan DVD player
also it was only 3999 after rebate with free shipping and no tax so overall it is a decent player,free shipping,free shipping,2,Apex AD2600 Progressive-scan DVD player
apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy,busy service line,busy service line,2,Apex AD2600 Progressive-scan DVD player
they will not respond to my emails promised turnaround time is 24 hours and the phone line is constantly busy,busy phone line,busy service line,2,Apex AD2600 Progressive-scan DVD player
basic usage is easy but the remote has a lot of buttons that i have not used,easy usage,basic usage,2,Apex AD2600 Progressive-scan DVD player
basic usage is easy but the remote has a lot of buttons that i have not used,basic usage,basic usage,2,Apex AD2600 Progressive-scan DVD player
received apex dvd and the picture was great when set up with s connector,apex dvd,apex tv,2,Apex AD2600 Progressive-scan DVD player
my dad also has an apex tv and it was another great value for the money,apex tv,apex tv,2,Apex AD2600 Progressive-scan DVD player
it does play a wide range of formats as advertised which is very nice,wide range,wide range,1,Apex AD2600 Progressive-scan DVD player
it sends discoutinous signals to tv so the tv has the pictures for one moment and has only the white noise for the other moment,white noise,white noise,1,Apex AD2600 Progressive-scan DVD player
the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 files on a regular cdr data disk without vcd formatting,visual artist,visual artist,1,Apex AD2600 Progressive-scan DVD player
finally you will read a post somewhere that all codes are useless for the apex 2600,useless codes,useless codes,1,Apex AD2600 Progressive-scan DVD player
i use this with a home theater system and its amazing how it sounds the picture clarity is unmatched,unmatched picture clarity,unmatched picture clarity,1,Apex AD2600 Progressive-scan DVD player
we have purchased 3 universal remotes so farall claiming to work apex dvd players and none worked,universal remotes,universal remotes,1,Apex AD2600 Progressive-scan DVD player
5 this apex model 2600 will not work with my universal remote control,universal control,universal control,1,Apex AD2600 Progressive-scan DVD player
the build quality feels solid it does not shake or whine while playing discs and the picture and sound is top notch both dts and dd51 sound good ,top notch,top notch,1,Apex AD2600 Progressive-scan DVD player
this is the third apex product i have bought and they continue to impress for the price,third product,third product,1,Apex AD2600 Progressive-scan DVD player
customer service and technical support are overloaded and nonresponsive tells you about the quality of their products and their willingness to stand behind them,technical support,technical support,1,Apex AD2600 Progressive-scan DVD player
output went black and white only via both svideo and composite connections and with no vhold,svideo connections,svideo connections,1,Apex AD2600 Progressive-scan DVD player
owners manual has substandard troubleshooting guide,substandard guide,substandard guide,1,Apex AD2600 Progressive-scan DVD player
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,stylish case,stylish case,1,Apex AD2600 Progressive-scan DVD player
the apex 2600 has been a steady performer for me,steady performer,steady performer,1,Apex AD2600 Progressive-scan DVD player
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category,standard set,standard set,1,Apex AD2600 Progressive-scan DVD player
silverish color really adds a special touch,special touch,special touch,1,Apex AD2600 Progressive-scan DVD player
i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd but it also was able to play vob files which i created with smart ripper,smart ripper,smart ripper,1,Apex AD2600 Progressive-scan DVD player
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,small scratches,small scratches,1,Apex AD2600 Progressive-scan DVD player
easy to use small form factor and looks good to boot,small form,small form,1,Apex AD2600 Progressive-scan DVD player
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,small display,small display,1,Apex AD2600 Progressive-scan DVD player
one also exhibited extremely slow speed when going to the menu,slow speed,slow speed,1,Apex AD2600 Progressive-scan DVD player
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,slim case,slim case,1,Apex AD2600 Progressive-scan DVD player
forget about the sleek looks if it cannot play some of your real dvds,sleek looks,sleek looks,1,Apex AD2600 Progressive-scan DVD player
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,simplest controls,simplest controls,1,Apex AD2600 Progressive-scan DVD player
silverish color really adds a special touch,silverish color,silverish color,1,Apex AD2600 Progressive-scan DVD player
retraction said mine had silver plate it does have display,silver plate,silver plate,1,Apex AD2600 Progressive-scan DVD player
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,significant distance,significant distance,1,Apex AD2600 Progressive-scan DVD player
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board,sharp tips,sharp tips,1,Apex AD2600 Progressive-scan DVD player
i have attempted to connect this unit to several different tvs using a multitude of connection methods and i still cannot get a video signal from the machine,several tvs,several tvs,1,Apex AD2600 Progressive-scan DVD player
i have had this player for several months and it reads most discs but it would not recognize several discs that were clean and read on other players from friends season 2 ,several months,several months,1,Apex AD2600 Progressive-scan DVD player
for instance i made several backups of my dvd movies using dvdr w and r w and it plays the dvds,several backups,several backups,1,Apex AD2600 Progressive-scan DVD player
the catch is that while it plays movies just fine it has refused to read second discs with the movie extras on them on the two occaisions when i tried to do that,second discs,second discs,1,Apex AD2600 Progressive-scan DVD player
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,scan option,scan option,1,Apex AD2600 Progressive-scan DVD player
same story as everybody else when trying to get service from apex nothing,same story,same story,1,Apex AD2600 Progressive-scan DVD player
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,rental dvd,rental dvd,1,Apex AD2600 Progressive-scan DVD player
remote buttons are small and closely spaced especially with the menu buttons,remote buttons,remote buttons,1,Apex AD2600 Progressive-scan DVD player
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line,regular line,regular line,1,Apex AD2600 Progressive-scan DVD player
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line,real hassle,real hassle,1,Apex AD2600 Progressive-scan DVD player
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,progressive option,progressive option,1,Apex AD2600 Progressive-scan DVD player
having spent considerable time with professional video gear i find onscreen displays annoying,professional gear,professional gear,1,Apex AD2600 Progressive-scan DVD player
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,prev machine,prev machine,1,Apex AD2600 Progressive-scan DVD player
great feature list poor reliability,poor reliability,poor reliability,1,Apex AD2600 Progressive-scan DVD player
i would have rated it five stars but for the poor manual,poor manual,poor manual,1,Apex AD2600 Progressive-scan DVD player
their customer www apexdigitalinc com service is very poor,poor com apexdigitalinc www service,poor com apexdigitalinc www service,1,Apex AD2600 Progressive-scan DVD player
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,plasticky feel,plasticky feel,1,Apex AD2600 Progressive-scan DVD player
unlike some of the other people who received a lemon my dvd player came in perfect working condition,perfect condition,perfect condition,1,Apex AD2600 Progressive-scan DVD player
also for some reason the picture looks washed out on svideo with lots of color bleeding compared to a component connection should not be much of a perceptible difference on a 27 tv ,perceptible difference,perceptible difference,1,Apex AD2600 Progressive-scan DVD player
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,particular point,particular point,1,Apex AD2600 Progressive-scan DVD player
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,overworked service rep,overworked service rep,1,Apex AD2600 Progressive-scan DVD player
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,overall feel,overall feel,1,Apex AD2600 Progressive-scan DVD player
having spent considerable time with professional video gear i find onscreen displays annoying,onscreen displays,onscreen displays,1,Apex AD2600 Progressive-scan DVD player
it did play a dvdr which was unplayable in my older philips machine,older machine,older machine,1,Apex AD2600 Progressive-scan DVD player
also i have not had trouble reading svcds that i created and vbr mp3 cds my old apex ad1200 had trouble with these ,old apex,old apex,1,Apex AD2600 Progressive-scan DVD player
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,occasional problems,occasional problems,1,Apex AD2600 Progressive-scan DVD player
i have had this player for several months and it reads most discs but it would not recognize several discs that were clean and read on other players from friends season 2 ,not several discs,not several discs,1,Apex AD2600 Progressive-scan DVD player
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,not complete filenames,not complete filenames,1,Apex AD2600 Progressive-scan DVD player
i have sent my ad2600 back to apex because it will not play certain disney and other dvd movies no disc message ,not certain disney,not certain disney,1,Apex AD2600 Progressive-scan DVD player
tech support from apex is literally nonexistent,nonexistent tech support,nonexistent tech support,1,Apex AD2600 Progressive-scan DVD player
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,nicer player,nicer player,1,Apex AD2600 Progressive-scan DVD player
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,new pirates,new pirates,1,Apex AD2600 Progressive-scan DVD player
new cds almost always began skipping after a few plays,new cds,new cds,1,Apex AD2600 Progressive-scan DVD player
it worked from 1226 to 19 at which time the picture failed completely see other negative reviewsmy unit was not the only one this happened to ,negative unit,negative unit,1,Apex AD2600 Progressive-scan DVD player
update the finish is more mirror than silver and i like it,more mirror,more mirror,1,Apex AD2600 Progressive-scan DVD player
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,more homework,more homework,1,Apex AD2600 Progressive-scan DVD player
mixed bag i guess but the price was right,mixed bag,mixed bag,1,Apex AD2600 Progressive-scan DVD player
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,minor weaknesses,minor weaknesses,1,Apex AD2600 Progressive-scan DVD player
its low profile space saving design looks nice,low profile,low profile,1,Apex AD2600 Progressive-scan DVD player
seems to read most dvds fine and reads quietly i had a pioneer player that had fairly loud disc spin noise ,loud noise,loud noise,1,Apex AD2600 Progressive-scan DVD player
seemed like a good deal but this pos frequently cannot recognize dvds and music cds takes a long time loading and then concludes no disc,long time,long time,1,Apex AD2600 Progressive-scan DVD player
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,long names,long names,1,Apex AD2600 Progressive-scan DVD player
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,lonely service,lonely service,1,Apex AD2600 Progressive-scan DVD player
the machine is very light and slim and fits nicely into my tv stand,light machine,light machine,1,Apex AD2600 Progressive-scan DVD player
at first i thought it is only a isolated incident but i was proven wrong when the player would not read my alias dvds as well,isolated incident,isolated incident,1,Apex AD2600 Progressive-scan DVD player
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board,internal board,internal board,1,Apex AD2600 Progressive-scan DVD player
imagine my shock and absolute instant disdain for any products made by apex,instant disdain,instant disdain,1,Apex AD2600 Progressive-scan DVD player
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,highend player,highend player,1,Apex AD2600 Progressive-scan DVD player
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,high expectations,high expectations,1,Apex AD2600 Progressive-scan DVD player
i am a more happier person after discovering the ip button,happier person,happier person,1,Apex AD2600 Progressive-scan DVD player
great feature list poor reliability,great list,great list,1,Apex AD2600 Progressive-scan DVD player
the aff feature did a great job converting the letterbox to fill 34 of the screen and the image still looked normal,great job,great job,1,Apex AD2600 Progressive-scan DVD player
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,good value,good value,1,Apex AD2600 Progressive-scan DVD player
the player looked good right out of the box offering lots of features and good styling,good styling,good styling,1,Apex AD2600 Progressive-scan DVD player
good looks,good looks,good looks,1,Apex AD2600 Progressive-scan DVD player
its very sleek looking with a very good front panel button layout and it has a great feature set,good layout,good layout,1,Apex AD2600 Progressive-scan DVD player
even viewed cds full of jpgs,full cds,full cds,1,Apex AD2600 Progressive-scan DVD player
the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close a very annoying thing after ahwile,front door,front door,1,Apex AD2600 Progressive-scan DVD player
its very sleek looking with a very good front panel button layout and it has a great feature set,front button,front button,1,Apex AD2600 Progressive-scan DVD player
the dvd player is fine,fine dvd player,fine dvd player,1,Apex AD2600 Progressive-scan DVD player
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on,faulty supply,faulty supply,1,Apex AD2600 Progressive-scan DVD player
the 2600 had false silver plate instead of play display,false plate,false plate,1,Apex AD2600 Progressive-scan DVD player
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,external display,external display,1,Apex AD2600 Progressive-scan DVD player
audio is excellent,excellent audio,excellent audio,1,Apex AD2600 Progressive-scan DVD player
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,embarassing gift,embarassing gift,1,Apex AD2600 Progressive-scan DVD player
there are really easy directions for setup and fiddling around with the picture zoom etc,easy directions,easy directions,1,Apex AD2600 Progressive-scan DVD player
it sends discoutinous signals to tv so the tv has the pictures for one moment and has only the white noise for the other moment,discoutinous signals,discoutinous signals,1,Apex AD2600 Progressive-scan DVD player
another nice thing is that the unit has both optical and coax digital audio outputs though the latter was not mentioned in the literature id scanned before buying,digital outputs,digital outputs,1,Apex AD2600 Progressive-scan DVD player
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,crappy remote,crappy remote,1,Apex AD2600 Progressive-scan DVD player
having spent considerable time with professional video gear i find onscreen displays annoying,considerable time,considerable time,1,Apex AD2600 Progressive-scan DVD player
its a compact attractive machine and was easy to set up,compact machine,compact machine,1,Apex AD2600 Progressive-scan DVD player
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,cheaper units,cheaper units,1,Apex AD2600 Progressive-scan DVD player
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,cheap scratches,cheap scratches,1,Apex AD2600 Progressive-scan DVD player
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,certain features,certain features,1,Apex AD2600 Progressive-scan DVD player
on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd,certain episodes,certain episodes,1,Apex AD2600 Progressive-scan DVD player
i am giving this player cautious recommendation,cautious recommendation,cautious recommendation,1,Apex AD2600 Progressive-scan DVD player
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,carribean dvd,carribean dvd,1,Apex AD2600 Progressive-scan DVD player
the only thing i did experience was a problem of the player freezing while playing which i was able to clear by opening it up and blowing it out with canned air,canned air,canned air,1,Apex AD2600 Progressive-scan DVD player
i tried calling the support number for a week several times a day and always got a busy signal,busy signal,busy signal,1,Apex AD2600 Progressive-scan DVD player
the picture is clear bright and sharp and the sound is good,bright picture,bright picture,1,Apex AD2600 Progressive-scan DVD player
there were a few attractive features such as the small size and the layout of the remote,attractive features,attractive features,1,Apex AD2600 Progressive-scan DVD player
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,apex units,apex units,1,Apex AD2600 Progressive-scan DVD player
i use this with a home theater system and its amazing how it sounds the picture clarity is unmatched,amazing system,amazing system,1,Apex AD2600 Progressive-scan DVD player
it plays alternate video formats vcds svcds cvds very well,alternate formats,alternate formats,1,Apex AD2600 Progressive-scan DVD player
imagine my shock and absolute instant disdain for any products made by apex,absolute disdain,absolute disdain,1,Apex AD2600 Progressive-scan DVD player
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on,2nd player,2nd player,1,Apex AD2600 Progressive-scan DVD player
this unit was working fine for the 1st month and a half and then the color signal disappeared,1st month,1st month,1,Apex AD2600 Progressive-scan DVD player
this is my first digital camera and what a toy it is,digital camera,digital camera,34,Canon G3
i recommend unreservedly the powershot g3 to any potential buyer looking for a firstclass digital camera at a reasonable price there is no better camera out there period,digital camera,digital camera,34,Canon G3
this is my first digital camera and i am very pleased with it,digital camera,digital camera,34,Canon G3
this is my first digital camera and i could not be happier,digital camera,digital camera,34,Canon G3
allinall i believe this is arguably the best nonslr digital camera on the market,digital camera,digital camera,34,Canon G3
simply the canon g3 is the best digital camera out there today at this price point,digital camera,digital camera,34,Canon G3
even with these shortcomings i still think it is the best digital camera available under 1200,digital camera,digital camera,34,Canon G3
this is a great camera for you,great camera,digital camera,34,Canon G3
i cannot write enough positive things about this great little camera,great camera,digital camera,34,Canon G3
the powershot g3 is a great camera,great camera,digital camera,34,Canon G3
definetely a great camera,great camera,digital camera,34,Canon G3
