review,aspect,key_aspect,count,product,sentiment
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,reliable brand,best brand,3,Apex AD2600 Progressive-scan DVD player,1
apex is the best cheap quality brand for dvd players,best brand,best brand,3,Apex AD2600 Progressive-scan DVD player,1
i would not be inclined to purchase an apex product again,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player,0
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player,1
this is the third apex product i have bought and they continue to impress for the price,apex product,apex product,3,Apex AD2600 Progressive-scan DVD player,1
remote buttons are small and closely spaced especially with the menu buttons,small buttons,tiny buttons,2,Apex AD2600 Progressive-scan DVD player,1
the remote is okay but i am not a fan of remotes with tiny buttons,tiny buttons,tiny buttons,2,Apex AD2600 Progressive-scan DVD player,1
it did also seem to have a strong new electronics smell for some time,new smell,strong smell,2,Apex AD2600 Progressive-scan DVD player,1
it did also seem to have a strong new electronics smell for some time,strong smell,strong smell,2,Apex AD2600 Progressive-scan DVD player,1
as a whole the dvd player has a sleek design and works fine,sleek design,slim design,2,Apex AD2600 Progressive-scan DVD player,1
loved the slim design,slim design,slim design,2,Apex AD2600 Progressive-scan DVD player,1
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,scan players,scan player,2,Apex AD2600 Progressive-scan DVD player,1
progressive scan player for a relatively low price although the better known manufacturers like toshiba pioneer and panasonic are now offering lowerpriced progressive scan players as well ,scan player,scan player,2,Apex AD2600 Progressive-scan DVD player,1
34 way through the first disk we played on it naturally on 31 days after purchase the dvd player froze,first disk,regular disk,2,Apex AD2600 Progressive-scan DVD player,1
the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 files on a regular cdr data disk without vcd formatting,regular disk,regular disk,2,Apex AD2600 Progressive-scan DVD player,1
the picture is clear bright and sharp and the sound is good,good sound,occasional sound,2,Apex AD2600 Progressive-scan DVD player,1
i have had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor,occasional sound,occasional sound,2,Apex AD2600 Progressive-scan DVD player,1
there were a few attractive features such as the small size and the layout of the remote,small size,normal size,2,Apex AD2600 Progressive-scan DVD player,1
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,normal size,normal size,2,Apex AD2600 Progressive-scan DVD player,0
my jpeg pictures are viewable not so sharp and vivid on my 27 screen but seem not as clear as when i view them on my 17 monitor,sharp jpeg pictures,jpeg pics,2,Apex AD2600 Progressive-scan DVD player,1
the unit seems to play all formats that i have put in it jpeg kodak pics and dvdr i have read other reviews and some good and soom not so good but my feeling at this time is two thumbs up,jpeg pics,jpeg pics,2,Apex AD2600 Progressive-scan DVD player,1
after multilple tries one of the disks was finally recognized but video was poor and features not available,poor video,good video,2,Apex AD2600 Progressive-scan DVD player,0
good quality video,good video,good video,2,Apex AD2600 Progressive-scan DVD player,1
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,good reviews,good reviews,2,Apex AD2600 Progressive-scan DVD player,1
the unit seems to play all formats that i have put in it jpeg kodak pics and dvdr i have read other reviews and some good and soom not so good but my feeling at this time is two thumbs up,good reviews,good reviews,2,Apex AD2600 Progressive-scan DVD player,1
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,great deal,good deal,2,Apex AD2600 Progressive-scan DVD player,0
seemed like a good deal but this pos frequently cannot recognize dvds and music cds takes a long time loading and then concludes no disc,good deal,good deal,2,Apex AD2600 Progressive-scan DVD player,0
finally amazons free shipping is really getting good it took only 3 working days for the player to reach me,free shipping,free shipping,2,Apex AD2600 Progressive-scan DVD player,1
also it was only 3999 after rebate with free shipping and no tax so overall it is a decent player,free shipping,free shipping,2,Apex AD2600 Progressive-scan DVD player,1
apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy,busy service line,busy phone line,2,Apex AD2600 Progressive-scan DVD player,0
they will not respond to my emails promised turnaround time is 24 hours and the phone line is constantly busy,busy phone line,busy phone line,2,Apex AD2600 Progressive-scan DVD player,0
basic usage is easy but the remote has a lot of buttons that i have not used,easy usage,basic usage,2,Apex AD2600 Progressive-scan DVD player,1
basic usage is easy but the remote has a lot of buttons that i have not used,basic usage,basic usage,2,Apex AD2600 Progressive-scan DVD player,1
received apex dvd and the picture was great when set up with s connector,apex dvd,apex tv,2,Apex AD2600 Progressive-scan DVD player,1
my dad also has an apex tv and it was another great value for the money,apex tv,apex tv,2,Apex AD2600 Progressive-scan DVD player,1
it does play a wide range of formats as advertised which is very nice,wide range,wide range,1,Apex AD2600 Progressive-scan DVD player,1
it sends discoutinous signals to tv so the tv has the pictures for one moment and has only the white noise for the other moment,white noise,white noise,1,Apex AD2600 Progressive-scan DVD player,0
the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 files on a regular cdr data disk without vcd formatting,visual artist,visual artist,1,Apex AD2600 Progressive-scan DVD player,1
finally you will read a post somewhere that all codes are useless for the apex 2600,useless codes,useless codes,1,Apex AD2600 Progressive-scan DVD player,0
i use this with a home theater system and its amazing how it sounds the picture clarity is unmatched,unmatched picture clarity,unmatched picture clarity,1,Apex AD2600 Progressive-scan DVD player,1
we have purchased 3 universal remotes so farall claiming to work apex dvd players and none worked,universal remotes,universal remotes,1,Apex AD2600 Progressive-scan DVD player,1
5 this apex model 2600 will not work with my universal remote control,universal control,universal control,1,Apex AD2600 Progressive-scan DVD player,0
the build quality feels solid it does not shake or whine while playing discs and the picture and sound is top notch both dts and dd51 sound good ,top notch,top notch,1,Apex AD2600 Progressive-scan DVD player,1
this is the third apex product i have bought and they continue to impress for the price,third product,third product,1,Apex AD2600 Progressive-scan DVD player,1
customer service and technical support are overloaded and nonresponsive tells you about the quality of their products and their willingness to stand behind them,technical support,technical support,1,Apex AD2600 Progressive-scan DVD player,0
output went black and white only via both svideo and composite connections and with no vhold,svideo connections,svideo connections,1,Apex AD2600 Progressive-scan DVD player,0
owners manual has substandard troubleshooting guide,substandard guide,substandard guide,1,Apex AD2600 Progressive-scan DVD player,0
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,stylish case,stylish case,1,Apex AD2600 Progressive-scan DVD player,1
the apex 2600 has been a steady performer for me,steady performer,steady performer,1,Apex AD2600 Progressive-scan DVD player,1
i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category,standard set,standard set,1,Apex AD2600 Progressive-scan DVD player,1
silverish color really adds a special touch,special touch,special touch,1,Apex AD2600 Progressive-scan DVD player,1
i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd but it also was able to play vob files which i created with smart ripper,smart ripper,smart ripper,1,Apex AD2600 Progressive-scan DVD player,1
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,small scratches,small scratches,1,Apex AD2600 Progressive-scan DVD player,0
easy to use small form factor and looks good to boot,small form,small form,1,Apex AD2600 Progressive-scan DVD player,1
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,small display,small display,1,Apex AD2600 Progressive-scan DVD player,0
one also exhibited extremely slow speed when going to the menu,slow speed,slow speed,1,Apex AD2600 Progressive-scan DVD player,0
for the first few weeks this player was everything i expected it to be an affordable multiformat dvd player with a stylish slim case as advertised,slim case,slim case,1,Apex AD2600 Progressive-scan DVD player,1
forget about the sleek looks if it cannot play some of your real dvds,sleek looks,sleek looks,1,Apex AD2600 Progressive-scan DVD player,1
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,simplest controls,simplest controls,1,Apex AD2600 Progressive-scan DVD player,1
silverish color really adds a special touch,silverish color,silverish color,1,Apex AD2600 Progressive-scan DVD player,1
retraction said mine had silver plate it does have display,silver plate,silver plate,1,Apex AD2600 Progressive-scan DVD player,0
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,significant distance,significant distance,1,Apex AD2600 Progressive-scan DVD player,0
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board,sharp tips,sharp tips,1,Apex AD2600 Progressive-scan DVD player,0
i have attempted to connect this unit to several different tvs using a multitude of connection methods and i still cannot get a video signal from the machine,several tvs,several tvs,1,Apex AD2600 Progressive-scan DVD player,0
i have had this player for several months and it reads most discs but it would not recognize several discs that were clean and read on other players from friends season 2 ,several months,several months,1,Apex AD2600 Progressive-scan DVD player,1
for instance i made several backups of my dvd movies using dvdr w and r w and it plays the dvds,several backups,several backups,1,Apex AD2600 Progressive-scan DVD player,1
the catch is that while it plays movies just fine it has refused to read second discs with the movie extras on them on the two occaisions when i tried to do that,second discs,second discs,1,Apex AD2600 Progressive-scan DVD player,0
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,scan option,scan option,1,Apex AD2600 Progressive-scan DVD player,1
same story as everybody else when trying to get service from apex nothing,same story,same story,1,Apex AD2600 Progressive-scan DVD player,1
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,rental dvd,rental dvd,1,Apex AD2600 Progressive-scan DVD player,0
remote buttons are small and closely spaced especially with the menu buttons,remote buttons,remote buttons,1,Apex AD2600 Progressive-scan DVD player,1
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line,regular line,regular line,1,Apex AD2600 Progressive-scan DVD player,0
the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line,real hassle,real hassle,1,Apex AD2600 Progressive-scan DVD player,0
the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used,progressive option,progressive option,1,Apex AD2600 Progressive-scan DVD player,1
having spent considerable time with professional video gear i find onscreen displays annoying,professional gear,professional gear,1,Apex AD2600 Progressive-scan DVD player,1
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,prev machine,prev machine,1,Apex AD2600 Progressive-scan DVD player,0
great feature list poor reliability,poor reliability,poor reliability,1,Apex AD2600 Progressive-scan DVD player,0
i would have rated it five stars but for the poor manual,poor manual,poor manual,1,Apex AD2600 Progressive-scan DVD player,0
their customer www apexdigitalinc com service is very poor,poor com apexdigitalinc www service,poor com apexdigitalinc www service,1,Apex AD2600 Progressive-scan DVD player,0
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,plasticky feel,plasticky feel,1,Apex AD2600 Progressive-scan DVD player,1
unlike some of the other people who received a lemon my dvd player came in perfect working condition,perfect condition,perfect condition,1,Apex AD2600 Progressive-scan DVD player,1
also for some reason the picture looks washed out on svideo with lots of color bleeding compared to a component connection should not be much of a perceptible difference on a 27 tv ,perceptible difference,perceptible difference,1,Apex AD2600 Progressive-scan DVD player,0
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,particular point,particular point,1,Apex AD2600 Progressive-scan DVD player,0
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,overworked service rep,overworked service rep,1,Apex AD2600 Progressive-scan DVD player,0
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,overall feel,overall feel,1,Apex AD2600 Progressive-scan DVD player,1
having spent considerable time with professional video gear i find onscreen displays annoying,onscreen displays,onscreen displays,1,Apex AD2600 Progressive-scan DVD player,1
it did play a dvdr which was unplayable in my older philips machine,older machine,older machine,1,Apex AD2600 Progressive-scan DVD player,1
also i have not had trouble reading svcds that i created and vbr mp3 cds my old apex ad1200 had trouble with these ,old apex,old apex,1,Apex AD2600 Progressive-scan DVD player,1
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,occasional problems,occasional problems,1,Apex AD2600 Progressive-scan DVD player,0
i have had this player for several months and it reads most discs but it would not recognize several discs that were clean and read on other players from friends season 2 ,not several discs,not several discs,1,Apex AD2600 Progressive-scan DVD player,0
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,not complete filenames,not complete filenames,1,Apex AD2600 Progressive-scan DVD player,0
i have sent my ad2600 back to apex because it will not play certain disney and other dvd movies no disc message ,not certain disney,not certain disney,1,Apex AD2600 Progressive-scan DVD player,0
tech support from apex is literally nonexistent,nonexistent tech support,nonexistent tech support,1,Apex AD2600 Progressive-scan DVD player,0
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,nicer player,nicer player,1,Apex AD2600 Progressive-scan DVD player,0
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,new pirates,new pirates,1,Apex AD2600 Progressive-scan DVD player,0
new cds almost always began skipping after a few plays,new cds,new cds,1,Apex AD2600 Progressive-scan DVD player,0
it worked from 1226 to 19 at which time the picture failed completely see other negative reviewsmy unit was not the only one this happened to ,negative unit,negative unit,1,Apex AD2600 Progressive-scan DVD player,0
update the finish is more mirror than silver and i like it,more mirror,more mirror,1,Apex AD2600 Progressive-scan DVD player,1
i read in consumer reports that apex is a reliable brand but with my experience and reading the other reviews i think i will be doing a little more homework before considering another apex product,more homework,more homework,1,Apex AD2600 Progressive-scan DVD player,0
mixed bag i guess but the price was right,mixed bag,mixed bag,1,Apex AD2600 Progressive-scan DVD player,1
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,minor weaknesses,minor weaknesses,1,Apex AD2600 Progressive-scan DVD player,0
its low profile space saving design looks nice,low profile,low profile,1,Apex AD2600 Progressive-scan DVD player,1
seems to read most dvds fine and reads quietly i had a pioneer player that had fairly loud disc spin noise ,loud noise,loud noise,1,Apex AD2600 Progressive-scan DVD player,1
seemed like a good deal but this pos frequently cannot recognize dvds and music cds takes a long time loading and then concludes no disc,long time,long time,1,Apex AD2600 Progressive-scan DVD player,0
weaknesses are minor the feel and layout of the remote control are only soso it does not show the complete filenames of mp3s with really long names you must cycle through every zoom setting 2x 3x 4x 12x etc before getting back to normal size sorry if i am just ignorant of a way to get back to 1x quickly ,long names,long names,1,Apex AD2600 Progressive-scan DVD player,0
i have tried many times to get a hold of apex who does not seem to answer their emails and telephone number is constantly busy as i believe the one lonely customer service rep is probably extremely overworked,lonely service,lonely service,1,Apex AD2600 Progressive-scan DVD player,0
the machine is very light and slim and fits nicely into my tv stand,light machine,light machine,1,Apex AD2600 Progressive-scan DVD player,1
at first i thought it is only a isolated incident but i was proven wrong when the player would not read my alias dvds as well,isolated incident,isolated incident,1,Apex AD2600 Progressive-scan DVD player,0
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board,internal board,internal board,1,Apex AD2600 Progressive-scan DVD player,0
imagine my shock and absolute instant disdain for any products made by apex,instant disdain,instant disdain,1,Apex AD2600 Progressive-scan DVD player,0
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,highend player,highend player,1,Apex AD2600 Progressive-scan DVD player,1
i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive highend player,high expectations,high expectations,1,Apex AD2600 Progressive-scan DVD player,1
i am a more happier person after discovering the ip button,happier person,happier person,1,Apex AD2600 Progressive-scan DVD player,1
great feature list poor reliability,great list,great list,1,Apex AD2600 Progressive-scan DVD player,0
the aff feature did a great job converting the letterbox to fill 34 of the screen and the image still looked normal,great job,great job,1,Apex AD2600 Progressive-scan DVD player,1
i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites,good value,good value,1,Apex AD2600 Progressive-scan DVD player,1
the player looked good right out of the box offering lots of features and good styling,good styling,good styling,1,Apex AD2600 Progressive-scan DVD player,1
good looks,good looks,good looks,1,Apex AD2600 Progressive-scan DVD player,1
its very sleek looking with a very good front panel button layout and it has a great feature set,good layout,good layout,1,Apex AD2600 Progressive-scan DVD player,1
even viewed cds full of jpgs,full cds,full cds,1,Apex AD2600 Progressive-scan DVD player,1
the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close a very annoying thing after ahwile,front door,front door,1,Apex AD2600 Progressive-scan DVD player,0
its very sleek looking with a very good front panel button layout and it has a great feature set,front button,front button,1,Apex AD2600 Progressive-scan DVD player,1
the dvd player is fine,fine dvd player,fine dvd player,1,Apex AD2600 Progressive-scan DVD player,1
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on,faulty supply,faulty supply,1,Apex AD2600 Progressive-scan DVD player,0
the 2600 had false silver plate instead of play display,false plate,false plate,1,Apex AD2600 Progressive-scan DVD player,0
there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open my prev machine did it automatically and the fact that the external display is too small and too faded to read from any significant distance,external display,external display,1,Apex AD2600 Progressive-scan DVD player,0
audio is excellent,excellent audio,excellent audio,1,Apex AD2600 Progressive-scan DVD player,1
all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift,embarassing gift,embarassing gift,1,Apex AD2600 Progressive-scan DVD player,0
there are really easy directions for setup and fiddling around with the picture zoom etc,easy directions,easy directions,1,Apex AD2600 Progressive-scan DVD player,1
it sends discoutinous signals to tv so the tv has the pictures for one moment and has only the white noise for the other moment,discoutinous signals,discoutinous signals,1,Apex AD2600 Progressive-scan DVD player,0
another nice thing is that the unit has both optical and coax digital audio outputs though the latter was not mentioned in the literature id scanned before buying,digital outputs,digital outputs,1,Apex AD2600 Progressive-scan DVD player,1
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,crappy remote,crappy remote,1,Apex AD2600 Progressive-scan DVD player,0
having spent considerable time with professional video gear i find onscreen displays annoying,considerable time,considerable time,1,Apex AD2600 Progressive-scan DVD player,1
its a compact attractive machine and was easy to set up,compact machine,compact machine,1,Apex AD2600 Progressive-scan DVD player,1
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,cheaper units,cheaper units,1,Apex AD2600 Progressive-scan DVD player,0
the build quality shows why its so cheap small scratches on the base plate something that you would not see on a sony and an overall plasticky feel,cheap scratches,cheap scratches,1,Apex AD2600 Progressive-scan DVD player,0
the player usually plays dvds but has occasional problems such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special features on a rental dvd,certain features,certain features,1,Apex AD2600 Progressive-scan DVD player,0
on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd,certain episodes,certain episodes,1,Apex AD2600 Progressive-scan DVD player,0
i am giving this player cautious recommendation,cautious recommendation,cautious recommendation,1,Apex AD2600 Progressive-scan DVD player,0
for example i tried playing my new pirates of the carribean extra features dvd but this dvd player can not read it,carribean dvd,carribean dvd,1,Apex AD2600 Progressive-scan DVD player,0
the only thing i did experience was a problem of the player freezing while playing which i was able to clear by opening it up and blowing it out with canned air,canned air,canned air,1,Apex AD2600 Progressive-scan DVD player,0
i tried calling the support number for a week several times a day and always got a busy signal,busy signal,busy signal,1,Apex AD2600 Progressive-scan DVD player,0
the picture is clear bright and sharp and the sound is good,bright picture,bright picture,1,Apex AD2600 Progressive-scan DVD player,1
there were a few attractive features such as the small size and the layout of the remote,attractive features,attractive features,1,Apex AD2600 Progressive-scan DVD player,1
my other gripe is the incredibly crappy remote which is worse than other cheaper apex units,apex units,apex units,1,Apex AD2600 Progressive-scan DVD player,0
i use this with a home theater system and its amazing how it sounds the picture clarity is unmatched,amazing system,amazing system,1,Apex AD2600 Progressive-scan DVD player,1
it plays alternate video formats vcds svcds cvds very well,alternate formats,alternate formats,1,Apex AD2600 Progressive-scan DVD player,1
imagine my shock and absolute instant disdain for any products made by apex,absolute disdain,absolute disdain,1,Apex AD2600 Progressive-scan DVD player,0
the 2nd dvd player had a faulty power supply which caused to occasionally not turn on,2nd player,2nd player,1,Apex AD2600 Progressive-scan DVD player,0
this unit was working fine for the 1st month and a half and then the color signal disappeared,1st month,1st month,1,Apex AD2600 Progressive-scan DVD player,0
